state,group_id,center_lat,center_lon,radius_m,count,path,label
GA,GA110,34.434247,-85.207645,20856,11,/geo_groups/GA110.csv,GA-110
GA,GA111,34.453744,-83.488539,24674,21,/geo_groups/GA111.csv,GA-111
GA,GA112,34.454213,-83.154852,23049,26,/geo_groups/GA112.csv,GA-112
GA,GA113,34.722223,-84.476882,34231,16,/geo_groups/GA113.csv,GA-113
GA,GA114,34.796292,-84.884471,24657,32,/geo_groups/GA114.csv,GA-114
GA,GA115,34.899585,-84.254735,22135,4,/geo_groups/GA115.csv,GA-115
GA,GA116,34.908197,-83.851342,16488,9,/geo_groups/GA116.csv,GA-116
GA,GA117,34.931896,-85.258699,23165,22,/geo_groups/GA117.csv,GA-117
GA,GA118,34.934500,-83.388323,10812,4,/geo_groups/GA118.csv,GA-118
MA,MA001,41.518140,-70.488025,16969,2,/geo_groups/MA001.csv,MA-001
MA,MA002,41.640337,-70.961514,9735,14,/geo_groups/MA002.csv,MA-002
MA,MA003,41.683585,-70.250130,11141,6,/geo_groups/MA003.csv,MA-003
MA,MA004,41.803078,-70.611565,18101,16,/geo_groups/MA004.csv,MA-004
MA,MA005,41.822119,-71.212962,24851,65,/geo_groups/MA005.csv,MA-005
MA,MA006,41.827561,-70.901702,25834,23,/geo_groups/MA006.csv,MA-006
MA,MA007,42.139188,-72.580329,27336,94,/geo_groups/MA007.csv,MA-007
MA,MA008,42.151652,-72.323458,17820,14,/geo_groups/MA008.csv,MA-008
MA,MA009,42.192308,-71.210143,26484,108,/geo_groups/MA009.csv,MA-009
MA,MA010,42.200015,-70.964064,28137,111,/geo_groups/MA010.csv,MA-010
MA,MA011,42.208066,-71.851973,24723,34,/geo_groups/MA011.csv,MA-011
MA,MA012,42.209779,-71.549662,26499,79,/geo_groups/MA012.csv,MA-012
MA,MA013,42.221920,-72.919363,11457,3,/geo_groups/MA013.csv,MA-013
MA,MA014,42.297490,-73.244420,3008,2,/geo_groups/MA014.csv,MA-014
MA,MA015,42.464247,-70.978482,17626,81,/geo_groups/MA015.csv,MA-015
MA,MA016,42.483970,-71.945660,19562,2,/geo_groups/MA016.csv,MA-016
MA,MA017,42.489287,-72.549120,25595,3,/geo_groups/MA017.csv,MA-017
MA,MA018,42.512232,-71.201094,24265,175,/geo_groups/MA018.csv,MA-018
MA,MA019,42.526829,-71.576016,26325,34,/geo_groups/MA019.csv,MA-019
MA,MA020,42.739050,-71.135450,10909,25,/geo_groups/MA020.csv,MA-020
MA,MA021,42.762560,-71.043840,3000,1,/geo_groups/MA021.csv,MA-021
MD,MD001,38.045990,-75.551265,6551,2,/geo_groups/MD001.csv,MD-001
MD,MD002,38.321456,-76.476947,11462,7,/geo_groups/MD002.csv,MD-002
MD,MD003,38.360079,-75.606968,8596,27,/geo_groups/MD003.csv,MD-003
MD,MD004,38.365060,-76.971740,3000,1,/geo_groups/MD004.csv,MD-004
MD,MD005,38.388019,-75.576711,7744,21,/geo_groups/MD005.csv,MD-005
MD,MD006,38.389486,-75.079038,9651,5,/geo_groups/MD006.csv,MD-006
MD,MD007,38.617916,-76.593100,16218,9,/geo_groups/MD007.csv,MD-007
MD,MD008,38.712720,-75.830700,3025,2,/geo_groups/MD008.csv,MD-008
MD,MD009,38.745406,-76.113116,11247,5,/geo_groups/MD009.csv,MD-009
MD,MD010,38.757053,-76.887661,26797,37,/geo_groups/MD010.csv,MD-010
MD,MD011,38.809075,-77.001925,4299,2,/geo_groups/MD011.csv,MD-011
MD,MD012,39.040891,-76.799782,28288,185,/geo_groups/MD012.csv,MD-012
MD,MD013,39.057795,-76.048705,3212,2,/geo_groups/MD013.csv,MD-013
MD,MD014,39.061965,-77.173159,18775,33,/geo_groups/MD014.csv,MD-014
MD,MD015,39.075939,-76.569345,26240,113,/geo_groups/MD015.csv,MD-015
MD,MD016,39.247869,-77.227931,31155,7,/geo_groups/MD016.csv,MD-016
MD,MD017,39.330849,-76.785612,32536,46,/geo_groups/MD017.csv,MD-017
MD,MD018,39.353921,-76.534128,27983,106,/geo_groups/MD018.csv,MD-018
MD,MD019,39.405380,-75.776460,3000,1,/geo_groups/MD019.csv,MD-019
MD,MD020,39.441165,-79.379605,3079,2,/geo_groups/MD020.csv,MD-020
MD,MD021,39.447572,-77.433298,25062,60,/geo_groups/MD021.csv,MD-021
MD,MD022,39.475412,-76.249323,10950,6,/geo_groups/MD022.csv,MD-022
MD,MD023,39.580296,-76.966280,13969,7,/geo_groups/MD023.csv,MD-023
MD,MD024,39.592606,-76.114584,17434,10,/geo_groups/MD024.csv,MD-024
MD,MD025,39.603269,-75.873021,10431,7,/geo_groups/MD025.csv,MD-025
